[14:53:30] New map: rp_powerplant_v2b2



[20:28:04] Fat Gay suicided!
[20:45:06] Client "bdhar {Nationalist}" connected.
[20:48:59] Fat Gay: !menu
[21:10:54] Fat Gay suicided!
[21:39:44] Fat Gay suicided!



[21:58:33] New map: rp_powerplant_v2b2
[21:58:55] Client "Fat Gay" connected.
[21:59:27] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 32 seconds).



[22:03:49] New map: rp_powerplant_v2b2
[22:04:00] Client "Fat Gay" connected.
[22:04:21] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 21 seconds).



[22:08:41] New map: rp_powerplant_v2b2
[22:09:03] Client "Fat Gay" connected.
[22:09:25] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 22 seconds).



[22:17:44] New map: rp_powerplant_v2b2
[22:18:07] Client "Fat Gay" connected.
[22:18:48] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 41 seconds).



[22:28:20] New map: rp_powerplant_v2b2
[22:28:42] Client "Fat Gay" connected.
[22:29:05] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 23 seconds).



[22:33:58] New map: rp_powerplant_v2b2
[22:34:19] Client "Fat Gay" connected.
[22:34:39] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 20 seconds).



[22:40:19] New map: rp_powerplant_v2b2
[22:40:41] Client "Fat Gay" connected.
[22:41:02] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 21 seconds).



[22:51:53] New map: rp_powerplant_v2b2
[22:52:15] Client "Fat Gay" connected.
[22:52:37] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 22 seconds).
[23:14:47] Fat Gay suicided!
<Logging continued in "data/ulx_logs/04-11-18.txt">
