Wed Sep 26 03:26:51 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 03:26:54 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:26:54 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:27:06 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 03:27:08 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:27:15 2018	CandyCrushGod6969 was killed by LethalDumpster with a weapon_l4d2_frying_pan
Wed Sep 26 03:27:15 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:27:21 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:27:30 2018	LethalDumpster was killed by Himself with a suicide trick
Wed Sep 26 03:27:30 2018	CandyCrushGod6969 was killed by LethalDumpster with a env_explosion
Wed Sep 26 03:27:32 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
Wed Sep 26 03:27:34 2018	LethalDumpster (STEAM_0:1:101135062) spawned
Wed Sep 26 03:27:38 2018	CandyCrushGod6969 was killed by LethalDumpster with a cw_mr96
Wed Sep 26 03:27:44 2018	CandyCrushGod6969 (STEAM_0:1:91516512) spawned
